config,suite,scenario_id,runs,pass,fail,outcome,collision,brake
radar_only,radar_only_regression,ccrs_60_demo_150,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrs_65,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrs_80,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrm_50_20,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrm_65_30,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrm_80_50,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrb_50_to_0,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrb_65_to_0,5,5,0,all_pass,0,5
radar_only,radar_only_regression,ccrb_80_to_0,5,5,0,all_pass,0,5
radar_only,radar_only_regression,adjacent_stationary_50,5,5,0,all_pass,0,0
radar_only,radar_only_regression,adjacent_stationary_65,5,5,0,all_pass,0,0
radar_only,radar_only_regression,adjacent_stationary_80,5,5,0,all_pass,0,0
radar_only,radar_only_regression,non_closing_60_80,5,5,0,all_pass,0,0
radar_only,radar_only_regression,curve_clear_65,5,5,0,all_pass,0,0
radar_only,radar_only_regression,curve_clear_80,5,5,0,all_pass,0,0
radar_only,radar_only_regression,curve_adjacent_stationary_65,5,5,0,all_pass,0,0
radar_only,radar_only_regression,curve_ccrs_65,5,5,0,all_pass,0,5
radar_only,radar_only_regression,cut_in_65_45,5,5,0,all_pass,0,5
radar_only,radar_only_regression,cut_in_80_50,5,5,0,all_pass,0,5
radar_only,radar_only_regression,cut_out_65_35,5,5,0,all_pass,0,0
radar_only,radar_only_regression,cut_out_late_65_35,5,0,5,all_fail,0,0
radar_only,radar_only_regression,cut_out_80_50,5,5,0,all_pass,0,0
radar_only,radar_only_regression,multi_adjacent_decoy_65,5,5,0,all_pass,0,5
radar_only,radar_only_regression,multi_two_leads_80,5,5,0,all_pass,0,5
radar_only,fusion_physical_false_positive_v2,prop_barrel_right_1p30,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_barrel_right_1p40,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_box_right_1p40,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_box_right_1p50,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_trashcan_left_1p30,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_trashcan_left_1p40,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_streetbarrier_right_1p30,5,0,5,all_fail,0,5
radar_only,fusion_physical_false_positive_v2,prop_streetbarrier_right_1p40,5,0,5,all_fail,0,5
radar_only,fusion_nonvehicle_hazard_limitation,prop_box_in_path_0p00,5,5,0,all_pass,0,5
radar_only,fusion_nonvehicle_hazard_limitation,prop_barrel_in_path_0p00,5,5,0,all_pass,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_60_18,5,0,5,all_fail,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_80_22,5,0,5,all_fail,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_90_28,5,0,5,all_fail,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_near_left_80_20,5,0,5,all_fail,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_near_right_80_20,5,0,5,all_fail,0,5
radar_only,fusion_benefit_stress,synthetic_false_object_low_height_80_18,5,0,5,all_fail,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_60_30_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_80_50_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_100_70_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrm_110_80_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_50_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_65_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_20,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_80_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_20,5,0,5,all_fail,5,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_95_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_20,5,0,5,all_fail,5,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_30,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_40,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_50,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,ccrb_110_gap_80,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_60_40_gap_25,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_60_40_gap_35,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_60_40_gap_45,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_60_40_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_80_50_gap_25,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_80_50_gap_35,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_80_50_gap_45,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_80_50_gap_60,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_100_60_gap_25,5,0,5,all_fail,5,5
hard_gate,system_limit_extended_sweep,cutin_100_60_gap_35,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_100_60_gap_45,5,5,0,all_pass,0,5
hard_gate,system_limit_extended_sweep,cutin_100_60_gap_60,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,clear_road_50,5,5,0,all_pass,0,0
hard_gate,radar_only_regression,clear_road_65,5,5,0,all_pass,0,0
hard_gate,radar_only_regression,clear_road_80,5,5,0,all_pass,0,0
hard_gate,radar_only_regression,ccrs_50,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrs_60_gap_200,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrs_60_demo_150,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrs_65,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrs_80,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrm_50_20,5,5,0,all_pass,0,5
hard_gate,radar_only_regression,ccrm_65_30,5,5,0,all_pass,0,5
